Character,Pinyin,Zhuyin,Definition,ExtendedDefinition
更,geng4,ㄍㄥˋ,Even,more; even more change; watch (e.g. of a sentry or guard)
愉快,yu2kuai4,ㄩˊㄎㄨㄞˋ,joy,happy; joyful
開心,kai1xin1,ㄎㄞˉㄒㄧㄣˉ,happy,feel happy; have fun; make fun of somebody
著急,zhao2ji2,ㄓㄠˊㄐㄧˊ,in a hurry,to worry; feel anxious (for simplified add 着~)
擔心,dan1xin1,ㄉㄢˉㄒㄧㄣˉ,Worry,worry; feel anxious
生气,sheng1qi4,ㄕㄥˉㄑㄧˋ,angry,angry; mad
張,zhang1,ㄓㄤˉ,open,(mw for flat objects); open; expand; (common surname)
圖片,tu2pian4,ㄊㄨˊㄆㄧㄢˋ,picture,image; picture; photograph
畫畫兒,hua4hua4r5,ㄏㄨㄚˋㄏㄨㄚˋr˙,Painting,to paint; to draw
畫,hua4,ㄏㄨㄚˋ,painting,draw; picture; painting
意思,yi4si5,ㄧˋㄙ˙,mean,meaning; idea; opinion
記得,ji4de5,ㄐㄧˋㄉㄜ˙,Remember,remember
一些,yi4xie1,ㄧˋㄒㄧㄝˉ,Some,some; a few; a little; a number of; certain
一點,yi4dian3,ㄧˋㄉㄧㄢˇ,a little,some; a bit; a little; 1 o'clock
房子,fang2zi5,ㄈㄤˊㄗ˙,house,house; building
房間,fang2jian1,ㄈㄤˊㄐㄧㄢˉ,Room,room
廚房,chu2fang2,ㄔㄨˊㄈㄤˊ,kitchen,kitchen
客廳,ke4ting1,ㄎㄜˋㄊㄧㄥˉ,living room,living room; parlor
門,men2,ㄇㄣˊ,Door,door; opening; gate; (mw for classes and languages) (Kangxi radical 169)
窗,chuang1,ㄔㄨㄤˉ,window,window
窗戶,chuang1hu5,ㄔㄨㄤˉㄏㄨ˙,window,window
樓,lou2,ㄌㄡˊ,building,floor; storied building
樓上,lou2shang4,ㄌㄡˊㄕㄤˋ,upstairs,upstairs
樓下,lou2xia4,ㄌㄡˊㄒㄧㄚˋ,downstairs,downstairs
電梯,dian4ti1,ㄉㄧㄢˋㄊㄧˉ,elevator,elevator; lift
家具,jia1ju4,ㄐㄧㄚˉㄐㄩˋ,furniture,furniture
椅子,yi3zi5,ㄧˇㄗ˙,Chair,chair
桌子,zhuo1zi5,ㄓㄨㄛˉㄗ˙,table,table; desk
沙發,sha1fa1,ㄕㄚˉㄈㄚˉ,sofa,sofa
床,chuang2,ㄔㄨㄤˊ,bed,bed; couch
開,kai1,ㄎㄞˉ,open,to open; to start; to turn on; to operate (a vehicle)
關,guan1,ㄍㄨㄢˉ,close,to close; shut; concern; relationship; turn off; mountain pass
電視機,dian4shi4ji1,ㄉㄧㄢˋㄕˋㄐㄧˉ,TV set,television set
冷气機,leng3qi4ji1,ㄌㄥˇㄑㄧˋㄐㄧˉ,Air conditioner,air conditioner
洗澡,xi3zao3,ㄒㄧˇㄗㄠˇ,bath,take a bath or shower
安靜,an1jing4,ㄢˉㄐㄧㄥˋ,Quiet,quiet; peaceful; calm
不錯,bu2cuo4,ㄅㄨˊㄘㄨㄛˋ,good,not bad; pretty good; correct
河,he2,ㄏㄜˊ,river,river
海,hai3,ㄏㄞˇ,ocean,ocean; sea
海邊,hai3bian1,ㄏㄞˇㄅㄧㄢˉ,seaside,seaside
湖,hu2,ㄏㄨˊ,lake,lake
山,shan1,ㄕㄢˉ,Mountain,mountain; hill; peak (Kangxi radical 46)
樹,shu4,ㄕㄨˋ,Tree,tree
花,hua1,ㄏㄨㄚˉ,flower,flower; blossom; spend (money or time); cost
馬,ma3,ㄇㄚˇ,horse,horse (Kangxi radical 187)
狗,gou3,ㄍㄡˇ,dog,dog
鳥,niao3,ㄋㄧㄠˇ,bird,bird (Kangxi radical 196)
貓,mao1,ㄇㄠˉ,cat,cat
雞,ji1,ㄐㄧˉ,chicken,chicken
魚,yu2,ㄩˊ,fish,fish (Kangxi radical 195)
太陽,tai4yang2,ㄊㄞˋㄧㄤˊ,sun,the sun
水,shui3,ㄕㄨㄟˇ,water,water (Kangxi radical 85)
天气,tian1qi4,ㄊㄧㄢˉㄑㄧˋ,weather,weather
冷,leng3,ㄌㄥˇ,cold,cold
熱,re4,ㄖㄜˋ,hot,heat; hot; heat up
下雨,xia4yu3,ㄒㄧㄚˋㄩˇ,rain,to rain
怕,pa4,ㄆㄚˋ,afraid,be afraid; fear
哭,ku1,ㄎㄨˉ,cry,cry; weep
難過,nan2guo4,ㄋㄢˊㄍㄨㄛˋ,sad,have a hard time; feel sad
傷心,shang1xin1,ㄕㄤˉㄒㄧㄣˉ,sad,sad; grieve; brokenhearted
美,mei3,ㄇㄟˇ,nice,beautiful; America
美麗,mei3li4,ㄇㄟˇㄌㄧˋ,beauty,beautiful
聰明,cong1ming5,ㄘㄨㄥˉㄇㄧㄥ˙,clever,intelligent; clever; bright; smart
認真,ren4zhen1,ㄖㄣˋㄓㄣˉ,serious,serious; earnest; take seriously conscientious
勇敢,yong3gan3,ㄩㄥˇㄍㄢˇ,brave,brave; courageous
禮貌,li3mao4,ㄌㄧˇㄇㄠˋ,polite,courtesy; politeness; manners
害羞,hai4xiu1,ㄏㄞˋㄒㄧㄡˉ,shy,blush; shy; bashful
應該,ying1gai1,ㄧㄥˉㄍㄞˉ,should,should; ought to; must
相信,xiang1xin4,ㄒㄧㄤˉㄒㄧㄣˋ,Believe,believe (sb.); be convinced of
經驗,jing1yan4,ㄐㄧㄥˉㄧㄢˋ,experience,experience
關心,guan1xin1,ㄍㄨㄢˉㄒㄧㄣˉ,care,be concerned about; care for; be interested in
辛苦,xin1ku3,ㄒㄧㄣˉㄎㄨˇ,Hard,hard; exhausting; toilsome; laborious
願意,yuan4yi4,ㄩㄢˋㄧˋ,willing,willing; want to; ready
心情,xin1qing2,ㄒㄧㄣˉㄑㄧㄥˊ,Feeling,mood; state of mind
幸福,xing4fu2,ㄒㄧㄥˋㄈㄨˊ,happiness,happy; blessed; fortunate
可憐,ke3lian2,ㄎㄜˇㄌㄧㄢˊ,Pitiful,pitiful; poor; pathetic
差,cha4,ㄔㄚˋ,Difference,poor; to lack difference
職業,zhi2ye4,ㄓˊㄧㄝˋ,Profession,profession; occupation
教師,jiao4shi1,ㄐㄧㄠˋㄕˉ,teacher,teacher; instructor
經理,jing1li3,ㄐㄧㄥˉㄌㄧˇ,manager,manager; director
記者,ji4zhe3,ㄐㄧˋㄓㄜˇ,reporter,reporter; journalist
服務員,fu2wu4yuan2,ㄈㄨˊㄨˋㄩㄢˊ,waiter,waiter/waitress; server; attendant
服務生,fu2wu4sheng1,ㄈㄨˊㄨˋㄕㄥˉ,Waiter,server (personnel)
顧客,gu4ke4,ㄍㄨˋㄎㄜˋ,customer,customer; client
教書,jiao1shu1,ㄐㄧㄠˉㄕㄨˉ,Teach,to teach (school)
開會,kai1 hui4,ㄎㄞˉ ㄏㄨㄟˋ,Meet,have a meeting; be at a meeting
下班,xia4 ban1,ㄒㄧㄚˋ ㄅㄢˉ,get off work,get off work; finish work
危險,wei1xian3,ㄨㄟˉㄒㄧㄢˇ,Danger,danger; dangerous; perilous
安全,an1quan2,ㄢˉㄑㄩㄢˊ,Safety,safe; safety; secure; security
成功,cheng2gong1,ㄔㄥˊㄍㄨㄥˉ,success,success; succeed
報告,bao4gao4,ㄅㄠˋㄍㄠˋ,Report,A report to report; make known; inform; speech; lecture
打算,da3suan4,ㄉㄚˇㄙㄨㄢˋ,Intend,to plan; intend
機會,ji1hui4,ㄐㄧˉㄏㄨㄟˋ,Chance,opportunity; chance; occasion
當,dang1,ㄉㄤˉ,when,should; act as; manage; match appropriate; assume; pawn
如果,ru2guo3,ㄖㄨˊㄍㄨㄛˇ,if,if; in the event that
計畫,ji4hua4,ㄐㄧˋㄏㄨㄚˋ,plan,plan; project; program
劃,hua4,ㄏㄨㄚˋ,Draw,delimit; to transfer; assign
努力,nu3li4,ㄋㄨˇㄌㄧˋ,effort,work hard; strive
管理,guan3li3,ㄍㄨㄢˇㄌㄧˇ,manage,supervise; manage
學院,xue2yuan4,ㄒㄩㄝˊㄩㄢˋ,College,college; institute; academy; school
小學生,xiao3xue2sheng1,ㄒㄧㄠˇㄒㄩㄝˊㄕㄥˉ,Primary school student,primary school student
大學生,da4xue2sheng1,ㄉㄚˋㄒㄩㄝˊㄕㄥˉ,College Students,college student; university student
同學,tong2xue2,ㄊㄨㄥˊㄒㄩㄝˊ,classmate,fellow student; schoolmate
校長,xiao4zhang3,ㄒㄧㄠˋㄓㄤˇ,headmaster,(academic) president; school principal; headmaster
放假,fang4 jia4,ㄈㄤˋ ㄐㄧㄚˋ,Have a holiday,have a holiday or vacation
畢業,bi4ye4,ㄅㄧˋㄧㄝˋ,graduate,graduation; graduate
飯,fan4,ㄈㄢˋ,meal,food; meal; cooked rice
麵,mian4,ㄇㄧㄢˋ,noodle,noodle; flour
湯,tang1,ㄊㄤˉ,soup,soup
包子,bao1zi5,ㄅㄠˉㄗ˙,steamed stuffed bun,steamed stuffed bun
蛋糕,dan4gao1,ㄉㄢˋㄍㄠˉ,cake,cake
面包,mian4bao1,ㄇㄧㄢˋㄅㄠˉ,bread,bread
水果,shui3guo3,ㄕㄨㄟˇㄍㄨㄛˇ,fruit,fruit
蘋果,ping2guo3,ㄆㄧㄥˊㄍㄨㄛˇ,apple,apple
香蕉,xiang1jiao1,ㄒㄧㄤˉㄐㄧㄠˉ,banana,banana
食物,shi2wu4,ㄕˊㄨˋ,food,food
飲料,yin3liao4,ㄧㄣˇㄌㄧㄠˋ,drinks,beverage; drink
果汁,guo3zhi1,ㄍㄨㄛˇㄓˉ,juice,fruit juice
酒,jiu3,ㄐㄧㄡˇ,liquor,wine; liquors; spirits
杯,bei1,ㄅㄟˉ,cup,cup; (mw for drinks)
杯子,bei1zi5,ㄅㄟˉㄗ˙,cup,cup; glass
請,qing3,ㄑㄧㄥˇ,Please,please; invite; to request treat
吃,chi1,ㄔˉ,eat,to eat
喝,he1,ㄏㄜˉ,drink,to drink shout loudly
多,duo1,ㄉㄨㄛˉ,many,many; much; a lot of; more than
少,shao3,ㄕㄠˇ,few,few; little; lack; lose young
甜,tian2,ㄊㄧㄢˊ,sweet,sweet; deep sound (sleep);  agreeable;  (slang) profitable; well-paying
菜單,cai4dan1,ㄘㄞˋㄉㄢˉ,menu,menu; bill of fare
巧克力,qiao3ke4li4,ㄑㄧㄠˇㄎㄜˋㄌㄧˋ,chocolate,chocolate (loan word)
幾,ji3,ㄐㄧˇ,Several,how many; several; a few almost
塊,kuai4,ㄎㄨㄞˋ,piece,lump; chunk (mw for pieces of soap cake cloth units of currency etc)
碗,wan3,ㄨㄢˇ,bowl,a bowl; a cup
盤子,pan2zi5,ㄆㄢˊㄗ˙,plate,plate; dish; tray
片,pian4,ㄆㄧㄢˋ,piece,(mw for pieces of things); a slice; a flake (Kangxi radical 91) film; photo
瓶,ping2,ㄆㄧㄥˊ,bottle,bottle; (mw for bottles)
件,jian4,ㄐㄧㄢˋ,Part,(mw for things clothes and items)
一半,yi2ban4,ㄧˊㄅㄢˋ,half,(one) half
因為,yin1wei4,ㄧㄣˉㄨㄟˋ,because,because; owing to; on account of
所以,suo3yi3,ㄙㄨㄛˇㄧˇ,so,so; therefore; as a result
可是,ke3shi4,ㄎㄜˇㄕˋ,But,but; however; (used for emphasis) indeed/really
和,he2,ㄏㄜˊ,and,and; with; harmony; peace; mix together;
跟,gen1,ㄍㄣˉ,and,to follow; with; to; from; and; heel
一起,yi4qi3,ㄧˋㄑㄧˇ,Together,together; in the same place
沒,mei2,ㄇㄟˊ,No,not have; there is not; (negative verb prefix) to drown; submerge
不,bu4,ㄅㄨˋ,Do not,no; not
也,ye3,ㄧㄝˇ,also,also; too as well as
都,dou1,ㄉㄡˉ,All,all; both capital; metropolis
只,zhi3,ㄓˇ,Only,only; merely; just; but
得,dei3,ㄉㄟˇ,have to,obtain; must; (complement particle)
了,le5,ㄌㄜ˙,Over,(particle for a new situation or completed action) finish; understand; clear
著,zhe5,ㄓㄜ˙,Be,write; book; make known; prove -ing (indicating action in progress when used as a traditional character)
還是,hai2shi5,ㄏㄞˊㄕ˙,still,or (for questions only); still; yet; nevertheless; had better
可能,ke3neng2,ㄎㄜˇㄋㄥˊ,possible,possible; maybe
一定,yi2ding4,ㄧˊㄉㄧㄥˋ,must,must be; surely; certainly; necessarily; definite
出生,chu1sheng1,ㄔㄨˉㄕㄥˉ,born,be born
四,si4,ㄙˋ,Four,four
五,wu3,ㄨˇ,five,five
六,liu4,ㄌㄧㄡˋ,six,six
七,qi1,ㄑㄧˉ,seven,seven
八,ba1,ㄅㄚˉ,Eight,eight (Kangxi radical 12); (original meaning: separate; distinguish; all around)
九,jiu3,ㄐㄧㄡˇ,Nine,nine
十,shi2,ㄕˊ,ten,ten (Kangxi radical 24)
百,bai3,ㄅㄞˇ,Hundred,hundred
千,qian1,ㄑㄧㄢˉ,thousand,thousand
萬,wan4,ㄨㄢˋ,Ten thousand,ten thousand
半,ban4,ㄅㄢˋ,Half,half; semi-; incomplete
個,ge5,ㄍㄜ˙,indivual,general measure word; individual
我,wo3,ㄨㄛˇ,I,I; me
你,ni3,ㄋㄧˇ,you,you
妳,ni3,ㄋㄧˇ,you,you (female)
您,nin2,ㄋㄧㄣˊ,you,you (polite)
他,ta1,ㄊㄚˉ,he,he; him; (gender-neutral term for both sexes)
她,ta1,ㄊㄚˉ,she,she
我們,wo3men5,ㄨㄛˇㄇㄣ˙,us,we; us
你們,ni3men5,ㄋㄧˇㄇㄣ˙,you,you (plural)
她們,ta1men5,ㄊㄚˉㄇㄣ˙,they,they; them (for females)
在,zai4,ㄗㄞˋ,exist,be at on in (a place or time); exist; rest with; (indicating an action in progress)
從,cong2,ㄘㄨㄥˊ,from,from; follow; since; obey; observe
是,shi4,ㄕˋ,Yes,to be (is am are)
的,de5,ㄉㄜ˙,of,(possessive modifying or descriptive particle)
誰,shei2,ㄕㄟˊ,Who,who
醫院,yi1yuan4,ㄧˉㄩㄢˋ,Hospital,hospital
辦公室,ban4gong1shi4,ㄅㄢˋㄍㄨㄥˉㄕˋ,office,office
工厂,gong1chang3,ㄍㄨㄥˉㄔㄤˇ,factory,factory
工人,gong1ren2,ㄍㄨㄥˉㄖㄣˊ,Worker,worker
老師,lao3shi1,ㄌㄠˇㄕˉ,teacher,teacher
醫生,yi1sheng1,ㄧˉㄕㄥˉ,doctor,doctor; physician
護士,hu4shi5,ㄏㄨˋㄕ˙,Nurse,nurse; doctor’s helper
司機,si1ji1,ㄙˉㄐㄧˉ,driver,driver; chauffeur
老板,lao3ban3,ㄌㄠˇㄅㄢˇ,boss,boss; proprietor; shopkeeper
同事,tong2shi4,ㄊㄨㄥˊㄕˋ,colleague,colleague; co-worker
公司,gong1si1,ㄍㄨㄥˉㄙˉ,company,company; corporation
買,mai3,ㄇㄞˇ,purchase,to buy
賣,mai4,ㄇㄞˋ,Sell,to sell
電腦,dian4nao3,ㄉㄧㄢˋㄋㄠˇ,computer,computer
工作,gong1zuo4,ㄍㄨㄥˉㄗㄨㄛˋ,Work,work; a job
上班,shang4ban1,ㄕㄤˋㄅㄢˉ,work,go to work; be on duty; start work; go to the office
准備,zhun3bei4,ㄓㄨㄣˇㄅㄟˋ,Prepare,prepare; get ready
忙,mang2,ㄇㄤˊ,busy,busy
學校,xue2xiao4,ㄒㄩㄝˊㄒㄧㄠˋ,School,school; campus
小學,xiao3xue2,ㄒㄧㄠˇㄒㄩㄝˊ,primary school,primary school; elementary school
中學,zhong1xue2,ㄓㄨㄥˉㄒㄩㄝˊ,Middle school,middle-school
大學,da4xue2,ㄉㄚˋㄒㄩㄝˊ,the University,university; college
年級,nian2ji2,ㄋㄧㄢˊㄐㄧˊ,grade,grade; year (in school)
學生,xue2sheng5,ㄒㄩㄝˊㄕㄥ˙,student,student
下雪,xia4xue3,ㄒㄧㄚˋㄒㄩㄝˇ,snow,to snow
風,feng1,ㄈㄥˉ,wind,wind; news; style (Kangxi radical 182)
穿,chuan1,ㄔㄨㄢˉ,Put on,to wear; put on; penetrate
睡覺,shui4jiao4,ㄕㄨㄟˋㄐㄧㄠˋ,sleep,to sleep; to go to bed
起床,qi3chuang2,ㄑㄧˇㄔㄨㄤˊ,get up,get up; get out of bed
咖啡,ka1fei1,ㄎㄚˉㄈㄟˉ,coffee,coffee
茶,cha2,ㄔㄚˊ,Tea,tea
洗,xi3,ㄒㄧˇ,wash,to wash; bathe
方便,fang1bian4,ㄈㄤˉㄅㄧㄢˋ,convenient,convenient; practical; useful
生活,sheng1huo2,ㄕㄥˉㄏㄨㄛˊ,Life,life; livelihood; to live
用,yong4,ㄩㄥˋ,use,to use (Kangxi radical 101)
新年,xin1nian2,ㄒㄧㄣˉㄋㄧㄢˊ,new year,New Year
開始,kai1shi3,ㄎㄞˉㄕˇ,start,begin; to start; beginning
運動,yun4dong4,ㄩㄣˋㄉㄨㄥˋ,sports,(physical) to exercise; movements; sports; campaign
游泳,you2yong3,ㄧㄡˊㄩㄥˇ,swim,to swim
踢,ti1,ㄊㄧˉ,Kick,to kick; to play (football or soccer)
足球,zu2qiu2,ㄗㄨˊㄑㄧㄡˊ,football,football; soccer
打,da3,ㄉㄚˇ,beat,to hit; to beat; to play; to type dozen
籃球,lan2qiu2,ㄌㄢˊㄑㄧㄡˊ,basketball,basketball
网球,wang3qiu2,ㄨㄤˇㄑㄧㄡˊ,tennis,tennis; tennis ball
棒球,bang4qiu2,ㄅㄤˋㄑㄧㄡˊ,baseball,baseball
比賽,bi3sai4,ㄅㄧˇㄙㄞˋ,Contest,(sports) match; competition
騎,qi2,ㄑㄧˊ,ride,ride or sit (astride)
腳踏車,jiao3ta4che1,ㄐㄧㄠˇㄊㄚˋㄔㄜˉ,bicycle,(Taiwan usage) bicycle
跑,pao3,ㄆㄠˇ,run,to run; to escape; to race
跑步,pao3 bu4,ㄆㄠˇ ㄅㄨˋ,Run,to run; to jog
走,zou3,ㄗㄡˇ,Walk,to walk; to go; to move (Kangxi radical 156)
走路,zou3lu4,ㄗㄡˇㄌㄨˋ,walk,to walk; go on foot
電影,dian4ying3,ㄉㄧㄢˋㄧㄥˇ,Movie,movie; film
電影院,dian4ying3yuan4,ㄉㄧㄢˋㄧㄥˇㄩㄢˋ,Cinema,cinema; movie theater
票,piao4,ㄆㄧㄠˋ,ticket,ticket; bank note; a vote
音樂,yin1yue4,ㄧㄣˉㄩㄝˋ,music,music
表演,biao3yan3,ㄅㄧㄠˇㄧㄢˇ,Performance,perform; performance
看,kan4,ㄎㄢˋ,Look,see; look at; to watch; regard watch over; look after
上网,shang4wang3,ㄕㄤˋㄨㄤˇ,Surf the Internet,to surf the web; to go online
以前,yi3qian2,ㄧˇㄑㄧㄢˊ,before,before; formerly; previously
以后,yi3hou4,ㄧˇㄏㄡˋ,after,after; afterwards; later
等,deng3,ㄉㄥˇ,Wait,wait; await; when; till; class; rank; grade; kind; sort; equal; and so on; etc.
輸,shu1,ㄕㄨˉ,lose,to transport; lose (a game etc.)
贏,ying2,ㄧㄥˊ,win,to win; to beat; to profit
有時候,you3 shi2hou5,ㄧㄡˇ ㄕˊㄏㄡ˙,sometimes,sometimes
常常,chang2chang2,ㄔㄤˊㄔㄤˊ,Frequent,often; usually; frequently
久,jiu3,ㄐㄧㄡˇ,Long,long; for a long time
先,xian1,ㄒㄧㄢˉ,First,first; early; before
再,zai4,ㄗㄞˋ,Again,again; once more; then
每,mei3,ㄇㄟˇ,Every,each; every
次,ci4,ㄘˋ,Second-rate,(mw for number of times of occurrence); nth; order
報紙,bao4zhi3,ㄅㄠˋㄓˇ,newspaper,newspaper
照片,zhao4pian4,ㄓㄠˋㄆㄧㄢˋ,photo,picture; photograph
書,shu1,ㄕㄨˉ,Book,book; letter
大樓,da4lou2,ㄉㄚˋㄌㄡˊ,Building,tall building
臥室,wo4shi4,ㄨㄛˋㄕˋ,bedroom,bedroom
花園,hua1yuan2,ㄏㄨㄚˉㄩㄢˊ,garden,garden
門口,men2kou3,ㄇㄣˊㄎㄡˇ,Entrance,doorway; entrance; gate
浴室,yu4shi4,ㄩˋㄕˋ,bathroom,bathroom; washroom
樓梯,lou2ti1,ㄌㄡˊㄊㄧˉ,stairs,stairs
牆,qiang2,ㄑㄧㄤˊ,wall,wall
洗衣機,xi3yi1ji1,ㄒㄧˇㄧˉㄐㄧˉ,washing machine,washing machine; washer
冰箱,bing1xiang1,ㄅㄧㄥˉㄒㄧㄤˉ,refrigerator,refrigerator
燈,deng1,ㄉㄥˉ,lamp,lamp; light
打開,da3kai1,ㄉㄚˇㄎㄞˉ,Open,to open; turn on
盒子,he2zi5,ㄏㄜˊㄗ˙,Box,box
鄰居,lin2ju1,ㄌㄧㄣˊㄐㄩˉ,Neighbor,neighbor
熱鬧,re4nao5,ㄖㄜˋㄋㄠ˙,lively,bustling; lively; busy
吵,chao3,ㄔㄠˇ,Quarrel,to quarrel; make a noise; noisy
滿意,man3yi4,ㄇㄢˇㄧˋ,satisfy,satisfied; pleased
干淨,gan1jing4,ㄍㄢˉㄐㄧㄥˋ,clean,clean; neat and tidy
房租,fang2zu1,ㄈㄤˊㄗㄨˉ,rent,rent money (for a house or apartment)
租,zu1,ㄗㄨˉ,rent,to rent;  to lease
開水,kai1shui3,ㄎㄞˉㄕㄨㄟˇ,boiling water,boiled water; boil water; drinking water (already sanitized/boiled)
鄉下,xiang1xia5,ㄒㄧㄤˉㄒㄧㄚ˙,countryside,countryside; rural; village
森林,sen1lin2,ㄙㄣˉㄌㄧㄣˊ,forest,forest
地,di4,ㄉㄧˋ,land,earth; ground; - ly (structural particle: used before a verb or adjective linking it to preceding modifying adverbial adjunct)
草,cao3,ㄘㄠˇ,Grass,grass; straw; draft (of a document)
枝,zhi1,ㄓˉ,branch,branch; twig; (mw for sticks rods pencils)
隻,zhi1,ㄓˉ,Only,(mw for birds and certain animals)
動物,dong4wu4,ㄉㄨㄥˋㄨˋ,animal,animal
牛,niu2,ㄋㄧㄡˊ,Cattle,ox; cow; bull (Kangxi radical 93); exceptional (slang)
虎,hu3,ㄏㄨˇ,Tiger,tiger
羊,yang2,ㄧㄤˊ,sheep,sheep (Kangxi radical 123)
豬,zhu1,ㄓㄨˉ,pig,pig; swine
月亮,yue4liang5,ㄩㄝˋㄌㄧㄤ˙,moon,the moon
星星,xing1xing5,ㄒㄧㄥˉㄒㄧㄥ˙,Star,star; (also -xīng: speck)
雲,yun2,ㄩㄣˊ,cloud,cloud; Yunnan province
地球,di4qiu2,ㄉㄧˋㄑㄧㄡˊ,Earth,the Earth (planet)
世界,shi4jie4,ㄕˋㄐㄧㄝˋ,world,world
環境,huan2jing4,ㄏㄨㄢˊㄐㄧㄥˋ,surroundings,environment; surroundings
火,huo3,ㄏㄨㄛˇ,fire,fire (Kangxi radical 86); urgent; hot (popular); fiery
晴天,qing2tian1,ㄑㄧㄥˊㄊㄧㄢˉ,sunny,fine sunny day
暖和,nuan3huo5,ㄋㄨㄢˇㄏㄨㄛ˙,warm,warm; nice and warm
涼快,liang2kuai5,ㄌㄧㄤˊㄎㄨㄞ˙,Cool,pleasantly cool (temperature)
溫暖,wen1nuan3,ㄨㄣˉㄋㄨㄢˇ,warmth,warm; warmth; kindness
度,du4,ㄉㄨˋ,Spend,capacity; degree; degree (mw for temperature angles); measure; scale; to spend (time) to estimate; surmise
溫度,wen1du4,ㄨㄣˉㄉㄨˋ,temperature,temperature
雨,yu3,ㄩˇ,rain,rain (Kangxi radical 173)
雪,xue3,ㄒㄩㄝˇ,Snow,snow
空气,kong1qi4,ㄎㄨㄥˉㄑㄧˋ,Air,air
間,jian1,ㄐㄧㄢˉ,between,(mw for rooms); space; time; among a gap; to separate
睡,shui4,ㄕㄨㄟˋ,sleep,to sleep
發生,fa1sheng1,ㄈㄚˉㄕㄥˉ,occur,happen; occur; take place
開學,kai1xue2,ㄎㄞˉㄒㄩㄝˊ,Start school,start school; begin a term
成績,cheng2ji4,ㄔㄥˊㄐㄧˋ,score,achievement; results (of work or study); grade (on schoolwork)
學期,xue2qi1,ㄒㄩㄝˊㄑㄧˉ,semester,semester; school term
學費,xue2fei4,ㄒㄩㄝˊㄈㄟˋ,tuition fee,tuition
暑假,shu3jia4,ㄕㄨˇㄐㄧㄚˋ,summer vacation,summer vacation
寒假,han2jia4,ㄏㄢˊㄐㄧㄚˋ,winter vacation,winter vacation
服務,fu2wu4,ㄈㄨˊㄨˋ,Serve,serve; service
宿舍,su4she4,ㄙㄨˋㄕㄜˋ,dormitory,dormitory; living quarters; hostel
操場,cao1chang3,ㄘㄠˉㄔㄤˇ,playground,playground; sports field
校園,xiao4yuan2,ㄒㄧㄠˋㄩㄢˊ,campus,campus; schoolyard
中文,Zhong1wen2,Zㄏㄨㄥˉㄨㄣˊ,Chinese,Chinese (language)
文化,wen2hua4,ㄨㄣˊㄏㄨㄚˋ,culture,culture civilization; education; literacy
語法,yu3fa3,ㄩˇㄈㄚˇ,grammar,grammar
漢語,Han4yu3,Hㄢˋㄩˇ,Chinese,Chinese (language)
書法,shu1fa3,ㄕㄨˉㄈㄚˇ,calligraphy,calligraphy; penmanship
班,ban1,ㄅㄢˉ,class,team; class; squad; shift
書桌,shu1zhuo1,ㄕㄨˉㄓㄨㄛˉ,desk,(writing) desk
課,ke4,ㄎㄜˋ,class,class; subject; lesson; course
字典,zi4dian3,ㄗˋㄉㄧㄢˇ,dictionary,character dictionary
漢字,Han4zi4,Hㄢˋㄗˋ,Chinese character,Chinese character
鉛筆,qian1bi3,ㄑㄧㄢˉㄅㄧˇ,pencil,pencil
尺,chi3,ㄔˇ,ruler,one-third of a meter; ruler; musical note on Chinese scale
毛筆,mao2bi3,ㄇㄠˊㄅㄧˇ,Brush,writing brush
教,jiao1,ㄐㄧㄠˉ,teach,to teach; instruct religion; teaching
講,jiang3,ㄐㄧㄤˇ,speak,speak; lecture; explain; a speech
講話,jiang3hua4,ㄐㄧㄤˇㄏㄨㄚˋ,Speaking,speak; to talk; speech; lecture
告訴,gao4su5,ㄍㄠˋㄙㄨ˙,Tell,to tell; inform; let sb. know
念,nian4,ㄋㄧㄢˋ,read,read aloud; to study; to miss or think of somebody
討論,tao3lun4,ㄊㄠˇㄌㄨㄣˋ,discuss,discuss; talk over
認為,ren4wei2,ㄖㄣˋㄨㄟˊ,think,believe; think (that); consider; to feel
解釋,jie3shi4,ㄐㄧㄝˇㄕˋ,explain,explain; interpret; expound
同意,tong2yi4,ㄊㄨㄥˊㄧˋ,agree,agree; consent; approve
了解,liao3jie3,ㄌㄧㄠˇㄐㄧㄝˇ,learn,comprehend; understand; know; find out (also 瞭~)
清楚,qing1chu5,ㄑㄧㄥˉㄔㄨ˙,clear,clear; distinct; be clear about
無聊,wu2liao2,ㄨˊㄌㄧㄠˊ,boring,nonsense; bored; boring; silly
遍,bian4,ㄅㄧㄢˋ,all over,all over; everywhere; once through; a time (mw for actions)
交,jiao1,ㄐㄧㄠˉ,pay,submit; deliver; turn over; intersect; to pay (money); friendship
借,jie4,ㄐㄧㄝˋ,borrow,lend; borrow; excuse
算,suan4,ㄙㄨㄢˋ,Calculate,calculate; compute; regard as; to figure; to count (as something)
對,dui4,ㄉㄨㄟˋ,right,correct; a pair; to face; be opposite; to; towards
錯,cuo4,ㄘㄨㄛˋ,wrong,mistake; error; miss an opportunity
辦法,ban4fa3,ㄅㄢˋㄈㄚˇ,Method,way (of doing sth.); means; measure; method
方法,fang1fa3,ㄈㄤˉㄈㄚˇ,method,method; way; means
有用,you3yong4,ㄧㄡˇㄩㄥˋ,it works,useful
進步,jin4bu4,ㄐㄧㄣˋㄅㄨˋ,progress,to make progress; to advance
忘,wang4,ㄨㄤˋ,forget,forget; overlook; to neglect
